"sample_date","sample_time","analysis_completed","sample_id","site_id","sample_temp_c","enterococci_cfu_per_100ml","filename","lab_code"
"2025-06-30","10:09:00","2025-07-02","XCN12H","XCN12","4.1","6","Infinity Environmental AD.176(FB).pdf","WLAB"
"2025-06-30","10:09:00","2025-07-02","XCN12I","XCN12","4.1","4","Infinity Environmental AD.176(FB).pdf","WLAB"
"2025-07-01","10:22:00","2025-07-03","CN11G","CN11","4.6","9","Infinity Environmental AD.178(FB).pdf","WLAB"
"2025-07-01","10:22:00","2025-07-03","CN11H","CN11","4.6","11","Infinity Environmental AD.178(FB).pdf","WLAB"
"2025-07-01","10:22:00","2025-07-03","CN11I","CN11","4.6","16","Infinity Environmental AD.178(FB).pdf","WLAB"
"2025-06-30","10:09:00",NULL,"XCN12A","XCN12","6.9","ND","M0842.pdf","SABS"
"2025-06-30","10:09:00",NULL,"XCN12B","XCN12","7.2","ND","M0842.pdf","SABS"
"2025-06-30","10:09:00",NULL,"XCN12C","XCN12","7","ND","M0842.pdf","SABS"
"2025-06-30",NULL,NULL,"XCN12","XCN12",NULL,"32","Coastal adhocs 2025-06-30","SSVC"
"2025-06-30",NULL,NULL,"XCN12","XCN12",NULL,"25","Coastal adhocs 2025-06-30","SSVC"
