site_name,sample_date,censored_value
Bikini Beach,2025-01-07T00:00:00Z,7
Bikini Beach,2025-01-14T00:00:00Z,8
Bikini Beach,2025-01-21T00:00:00Z,1
Bikini Beach,2025-01-28T00:00:00Z,38
Camps Bay,2021-11-23T00:00:00Z,5
Camps Bay,2021-12-01T00:00:00Z,4
Camps Bay,2021-12-08T00:00:00Z,8
Camps Bay,2021-12-14T00:00:00Z,12
Camps Bay,2021-12-22T00:00:00Z,4
Camps Bay,2022-01-04T00:00:00Z,11
Camps Bay,2022-01-12T00:00:00Z,3
Camps Bay,2022-01-20T00:00:00Z,1
Camps Bay,2022-01-26T00:00:00Z,2
Camps Bay,2022-02-02T00:00:00Z,18
Camps Bay,2022-02-16T00:00:00Z,2
Camps Bay,2022-03-03T00:00:00Z,15
Camps Bay,2022-03-15T00:00:00Z,6
Camps Bay,2022-03-31T00:00:00Z,37
Camps Bay,2022-11-29T00:00:00Z,11
Camps Bay,2022-12-07T00:00:00Z,1
Camps Bay,2022-12-14T00:00:00Z,10
Camps Bay,2022-12-20T00:00:00Z,12
Camps Bay,2023-01-04T00:00:00Z,1
Camps Bay,2023-01-10T00:00:00Z,8
Camps Bay,2023-01-18T00:00:00Z,1
Camps Bay,2023-01-24T00:00:00Z,62
Camps Bay,2023-01-31T00:00:00Z,5
Camps Bay,2023-02-16T00:00:00Z,107
Camps Bay,2023-11-28T00:00:00Z,1
Camps Bay,2023-12-06T00:00:00Z,16
Camps Bay,2023-12-13T00:00:00Z,1
Camps Bay,2023-12-19T00:00:00Z,1
Camps Bay,2024-01-03T00:00:00Z,1
Camps Bay,2024-01-09T00:00:00Z,1
Camps Bay,2024-01-17T00:00:00Z,28
Camps Bay,2024-01-23T00:00:00Z,3
Camps Bay,2024-01-30T00:00:00Z,9
Camps Bay,2024-02-06T00:00:00Z,1
Camps Bay,2024-02-13T00:00:00Z,57
Camps Bay,2024-02-20T00:00:00Z,5
Camps Bay,2024-02-27T00:00:00Z,98
Camps Bay,2024-03-05T00:00:00Z,13
Camps Bay,2024-03-13T00:00:00Z,>150
Camps Bay,2024-03-18T00:00:00Z,29
Camps Bay,2024-03-19T00:00:00Z,1
Camps Bay,2024-03-27T00:00:00Z,2
Camps Bay,2024-11-20T00:00:00Z,14
Camps Bay,2024-12-05T00:00:00Z,1
Camps Bay,2024-12-12T00:00:00Z,15
Camps Bay,2024-12-19T00:00:00Z,1
Camps Bay,2025-01-05T00:00:00Z,1
Camps Bay,2025-01-08T00:00:00Z,1
Camps Bay,2025-01-16T00:00:00Z,1
Camps Bay,2025-01-28T00:00:00Z,88
Camps Bay,2025-02-04T00:00:00Z,1
Camps Bay,2025-02-11T00:00:00Z,33
Camps Bay,2025-02-18T00:00:00Z,1
Camps Bay,2025-02-19T00:00:00Z,22
Clifton Fourth,2021-11-25T00:00:00Z,1
Clifton Fourth,2021-12-02T00:00:00Z,3
Clifton Fourth,2021-12-08T00:00:00Z,1
Clifton Fourth,2021-12-14T00:00:00Z,1
Clifton Fourth,2021-12-22T00:00:00Z,3
Clifton Fourth,2022-01-04T00:00:00Z,5
Clifton Fourth,2022-01-12T00:00:00Z,1
Clifton Fourth,2022-01-20T00:00:00Z,5
Clifton Fourth,2022-01-27T00:00:00Z,1
Clifton Fourth,2022-11-29T00:00:00Z,4
Clifton Fourth,2022-12-07T00:00:00Z,10
Clifton Fourth,2022-12-14T00:00:00Z,29
Clifton Fourth,2022-12-20T00:00:00Z,1
Clifton Fourth,2023-01-04T00:00:00Z,31
Clifton Fourth,2023-01-10T00:00:00Z,35
Clifton Fourth,2023-01-18T00:00:00Z,19
Clifton Fourth,2023-01-20T00:00:00Z,11
Clifton Fourth,2023-01-24T00:00:00Z,21
Clifton Fourth,2023-01-31T00:00:00Z,1
Clifton Fourth,2023-11-28T00:00:00Z,2
Clifton Fourth,2023-12-06T00:00:00Z,1
Clifton Fourth,2023-12-13T00:00:00Z,1
Clifton Fourth,2023-12-19T00:00:00Z,53
Clifton Fourth,2024-01-03T00:00:00Z,1
Clifton Fourth,2024-01-09T00:00:00Z,1
Clifton Fourth,2024-01-17T00:00:00Z,1
Clifton Fourth,2024-01-23T00:00:00Z,6
Clifton Fourth,2024-01-30T00:00:00Z,16
Clifton Fourth,2024-11-20T00:00:00Z,46
Clifton Fourth,2024-12-05T00:00:00Z,1
Clifton Fourth,2024-12-12T00:00:00Z,29
Clifton Fourth,2024-12-19T00:00:00Z,1
Clifton Fourth,2025-01-08T00:00:00Z,3
Clifton Fourth,2025-01-16T00:00:00Z,7
Clifton Fourth,2025-01-22T00:00:00Z,1
Clifton Fourth,2025-01-28T00:00:00Z,1
Fish Hoek,2021-11-23T00:00:00Z,1
Fish Hoek,2021-12-02T00:00:00Z,>150
Fish Hoek,2021-12-09T00:00:00Z,3
Fish Hoek,2021-12-15T00:00:00Z,3
Fish Hoek,2021-12-23T00:00:00Z,4
Fish Hoek,2022-01-05T00:00:00Z,8
Fish Hoek,2022-01-11T00:00:00Z,12
Fish Hoek,2022-01-19T00:00:00Z,5
Fish Hoek,2022-01-26T00:00:00Z,15
Fish Hoek,2022-11-30T00:00:00Z,6
Fish Hoek,2022-12-08T00:00:00Z,1
Fish Hoek,2022-12-15T00:00:00Z,17
Fish Hoek,2022-12-21T00:00:00Z,16
